name,member_ct,tags
"Sigma Lambda Alpha Sorority, Inc.",10,"Academic,Cultural,Greek,Multicultural Greek Council,Service,Social"
"Sigma Lambda Beta",34,"Cultural,Greek,Multicultural Greek Council,Service,Social"
"Sigma Lambda Gamma National Sorority, Inc.",39,"Academic,Cultural,Greek,Multicultural Greek Council,Service,Social"
"Sigma Nu",102,"Greek,Interfraternity Council "
"Sigma Phi Epsilon",20,"Greek,Interfraternity Council "
"Sigma Phi Lambda, Mu Chapter  (Sisters for the Lord)",21,"Affiliate Circle,Religious/Spiritual"
"Sikh Student Association",18,"Cultural,Religious/Spiritual,Social"
"Sitaraas",20,"Cultural,Other,Performing,Recreational,Service,Social,Special Interest,Sports"
"Social Work Student Association",14,"Academic,Professional,Service,Social"
"Society for Chemical and Biochemical Researchers",24,"Academic,Professional,Social"
"Society of Asian Scientists & Engineers",97,"Academic,Cultural,Professional,Service,Social"
"Society of Exploration Geophysicists Student Chapter",45,"Academic,Other,Professional,Social"
"Society of Hispanic Professional Engineers",220,"Academic,Cultural,Professional,Service,Special Interest"
"Society of International Pre-Med Students",65,"Academic,Cultural,Professional"
"Society of Petroleum Engineers",85,"Academic,Professional,Social"
"Society of Petrophysicists and Well Log Analysts",50,"Academic,Professional"
"Society of Physics Students",80,"Academic,Professional,Service,Social"
"Society of Women Engineers",237,"Academic,Professional,Social,Special Interest"
"Sociology/Criminology Club",75,"Academic"
"Soil and Water Conservation Society ",32,"Academic,Environmental Sustainability,Special Interest"
"Soniyes",19,"Cultural,Performing,Sports"
"Sooner Air Traffic Control Association",34,"Academic"
"Sooner Chapter of the American Association of Airport Executives",20,"Academic,Professional"
"Sooner Competitive Robotics",83,"Academic,Other,Special Interest"
"Sooner Off-Road",12,"Academic,Special Interest"
"Sooner Racing Team",100,"Academic,Other,Recreational,Special Interest"
"Sooner Rover Team",25,"Special Interest"
"Sooners Without Borders",59,"Service"
"South Asian Student Association",21,"Cultural,Service,Social"
"Spanish Language Club",161,"Academic,Cultural,Social"
"SPE Student Chapter",25,"Academic,Environmental Sustainability,Professional"
"Speech Team",2,"Other"
"Sports and Entertainment Law Society",28,"Academic,Other,Social,Sports"
"Sports Business Association ",164,"Academic,Professional,Social,Sports"
"Steel Bridge Competition Team",20,"Academic"
"STEM in the Sun",33,"Recreational,Service,Social,Special Interest,Sports"
"Structural Engineering Institute at the University of Oklahoma",43,"Academic,Professional,Special Interest"
"Student Association of Bangladesh",66,"Cultural,Social,Sports"
"Student Association of Graduates in English",19,"Academic,Social"
"Student Chapter of the American Meteorological Society & National Weather Association",97,"Academic,Professional,Service,Social,Special Interest"
"Student Chapter of the American Society of Landscape Architects (SCASLA)",15,"Academic,Professional,Social"
"Student Chapter of the Association for Computing Machinery",49,"Academic,Professional,Special Interest"
"Student Council for Exceptional Children",29,"Academic,Service"
"Student Film Production Club",50,"Academic,Media,Other,Performing,Social,Special Interest"
"Student Mobilization",1,"Religious/Spiritual"
"Student Planning Association",31,"Academic,Professional"
"Student Socialist League ",67,"Other,Political,Service,Social"
"Student Society of Human Relations",13,"Academic,Service"
"Student Theatre Council",10,"Cultural,Performing,Political,Professional,Social"
"Student Veterans Association",102,"Academic,Other,Professional,Recreational,Service,Special Interest"
"Students 4 Israel",2,"Political"
"Students for Local Action",33,"Environmental Sustainability,Political,Service,Social"
"Students for New Urbanism",17,"Other,Professional,Social"
"Students for Reproductive Justice",149,"Other,Political,Social,Special Interest"
"Students for the Exploration and Development of Space",60,"Academic,Social,Special Interest"
"Students in Recovery",1,"Service,Social,Special Interest"
"StyroHome",21,"Environmental Sustainability,Service"
"Super League",77,"Recreational,Social,Sports"
"Sustainable Energy Society ",104,"Academic,Environmental Sustainability,Service"
"Tabletop Gaming Club",112,"Recreational,Social"
"Tau Beta Pi",63,"Academic,Honorary,Professional"
"Tau Beta Sigma",27,"Academic,Service,Social"
"Tau Kappa Omega Fraternity",15,"Cultural,Greek,Multicultural Greek Council"
"Taylor Swift Fan Club at the University of Oklahoma",73,"Media,Special Interest"
"The Alexander Hamilton Society Chapter at The University of Oklahoma",16,"Academic,Political,Professional,Special Interest"
"The Artists' Gallery",7,"Media,Performing,Professional"
"The Big Event",12,"Service"
"The Fashion Club",110,"Cultural,Social,Special Interest"
"The Oklahoma Group",23,"Academic,Professional,Service,Social"
"The Trumpet Studio",13,"Performing,Recreational,Social,Special Interest"
"The United World",106,"Cultural,Environmental Sustainability,Service,Social,Special Interest"
"Theta Nu Xi Multicultural Sorority, Inc.",20,"Academic,Cultural,Greek,Multicultural Greek Council,Performing,Political,Professional,Service,Social,Special Interest"
"Thomistic Institute",9,"Academic,Religious/Spiritual,Special Interest"
"THRIVE Campus Ministry",6,"Religious/Spiritual,Social"
"Together Everyone Achieves More",29,"Recreational,Service,Social"
"Turning Point USA",50,"Political,Service,Social,Special Interest"
"Undergraduate Communication Association",38,"Academic"
"Undergraduate Mock Trial Team",15,"Academic,Other,Professional,Special Interest"
"Unified Sports Club at the University of Oklahoma",14,"Recreational,Social,Sports"
"University Buddhist Association",57,"Cultural,Recreational,Religious/Spiritual,Service,Special Interest"
"University of Oklahoma Percussion Society",17,"Other,Performing,Service,Special Interest"
"Uplift",2,"Religious/Spiritual,Service"
"UX Design Club",46,"Academic,Media,Professional,Special Interest"
"Venezuelan Association",57,"Cultural"
"Victim Advocacy Program",66,"Academic,Service"
"Vietnamese Student Association",65,"Cultural,Social"
"Wall Street Sooners",43,"Academic,Professional"
"Wealth Management Club",170,"Academic,Professional,Social"
"Well Read Book Club",124,"Academic,Cultural,Media,Other,Recreational,Social,Special Interest"
"Wesley Foundation",5,"Religious/Spiritual,Social"
"Wildwood College Life",13,"Religious/Spiritual"
"Women Impacting Supply Chain Excellence",69,"Academic,Professional,Social"
"Women in Aviation",43,"Special Interest"
"Women in Business Association",186,"Academic,Other,Professional,Social,Special Interest"
"Women in Finance",142,"Academic,Professional,Special Interest"
"Women In Gaylord",10,"Other,Social"
"Women In Physics",27,"Academic,Cultural,Professional,Recreational,Service,Social,Special Interest"
"Women in STEM",36,"Academic,Cultural"
"Women of Power",77,"Cultural,Service,Social,Special Interest"
"Women's Climbing Alliance",4,"Recreational,Social,Special Interest"
"Women's Health Advocacy",182,"Academic,Service,Special Interest"
"Women's Rights in Healthcare Organization",296,"Other,Political"
"Women's Run Club",9,"Recreational,Social,Special Interest"
"World Literature Today Student Advisory Board",26,"Academic,Cultural,Media,Other,Special Interest"
"Young Americans for Freedom at the University of Oklahoma",1,"Political,Social"
"Young Life College",39,"Religious/Spiritual,Social"
"Zeta Phi Beta",3,"Greek,National Panhellenic Council"
